N_surface,S_100,S_111,S_110,S_311,Avg_surf,q6q6_avg_surf,target
644,0,380,93,1,8.632,7.795,-4846.824
554,0,224,280,0,8.6065,8.4801,-4881.0226
482,87,210,38,44,8.2531,7.8485,-4895.4724
528,23,120,264,0,8.4167,8.392,-4902.7089
532,0,352,72,28,8.5282,8.3045,-4932.39
522,3,332,108,10,8.5632,8.2529,-4978.973
517,22,281,83,40,8.4584,8.2921,-4989.9622
491,135,96,83,27,8.0916,8.0122,-4971.8524
517,10,213,63,7,8.6615,6.4584,-5012.1016
537,0,352,130,0,8.6034,8.3073,-5053.8992
534,6,154,71,63,8.3558,8.1273,-5040.1152
547,0,362,59,47,8.5064,8.2358,-5058.324
579,0,145,267,8,8.62,8.1036,-5052.357
524,21,368,61,25,8.4618,8.3836,-5098.72
552,0,365,51,53,8.4964,8.1413,-5092.2879
502,52,243,63,39,8.3904,8.1813,-5114.6607
545,0,119,75,47,8.3431,8.1321,-5100.9219
546,0,108,71,56,8.3352,8.1832,-5120.4352
492,172,120,16,71,8.0102,7.9411,-5152.6788
513,133,129,39,33,8.1949,7.2904,-5155.3424
492,185,120,4,78,8.0061,7.8516,-5192.1924
552,0,343,109,27,8.5525,8.3043,-5206.3827
492,0,314,74,0,8.6118,7.6545,-5203.681
565,22,21,255,28,8.3929,7.9009,-5187.3013
567,9,17,83,29,8.3192,7.4568,-5177.6268
565,2,27,70,42,8.308,7.3204,-5194.5082
522,38,297,70,40,8.431,8.2203,-5261.6221
607,0,404,124,0,8.659,8.3641,-5291.3167
606,0,120,383,0,8.6271,8.4505,-5298.1281
605,0,120,346,0,8.5983,8.4165,-5328.3154
528,71,216,120,31,8.3352,8.2822,-5357.7619
572,0,440,110,0,8.5594,8.549,-5387.4623
558,21,80,87,1,8.31,7.8763,-5371.1123
578,0,439,130,1,8.6228,8.6003,-5411.3525
544,4,36,21,148,8.1801,7.7996,-5391.9715
517,92,223,43,52,8.2901,8.0793,-5468.3746
542,30,319,74,31,8.476,8.286,-5487.6264
537,50,291,53,39,8.4041,8.1825,-5501.0784
613,0,69,312,2,8.5269,8.3866,-5475.5707
641,0,47,439,0,8.6552,8.4165,-5490.2111
557,13,353,80,20,8.5063,8.3232,-5540.666
528,84,288,27,57,8.3087,8.2652,-5542.7737
542,69,278,57,45,8.3395,7.9373,-5568.4416
522,120,213,23,44,8.228,7.7759,-5572.4652
634,0,65,327,4,8.5741,8.3013,-5582.2446
654,0,23,404,11,8.6101,8.2034,-5577.2886
580,1,113,76,19,8.4103,8.0914,-5614.3891
589,0,117,90,19,8.4194,8.0951,-5635.8343
602,0,108,130,3,8.4402,8.0714,-5661.3042
582,0,395,101,15,8.5584,8.4089,-5687.7028
540,219,48,43,31,7.9407,7.8444,-5677.3345
572,9,367,105,17,8.535,8.3304,-5711.8203
542,72,252,79,50,8.369,8.0627,-5715.0591
548,97,123,56,27,8.3266,7.2573,-5684.9794
597,0,374,109,32,8.5645,8.3585,-5749.1057
592,0,392,124,2,8.6081,8.4122,-5821.7368
540,193,78,24,32,8.0833,7.3315,-5806.009
572,64,69,39,30,8.2552,7.9476,-5817.598
582,22,361,72,38,8.4931,8.3213,-5890.5458
571,213,8,49,19,7.944,7.4851,-5875.7388
